     14.0000 0.000000000000        458           1.00
     15.0000 0.100000000000      12477           1.11
     16.0000 0.200000000000      22115           1.25
     17.0000 0.300000000000      33733           1.43
     18.0000 0.400000000000      50982           1.67
     18.0000 0.500000000000      50982           2.00
     19.0000 0.550000000000      68780           2.22
     19.0000 0.600000000000      68780           2.50
     19.0000 0.650000000000      68780           2.86
     19.0000 0.700000000000      68780           3.33
     20.0000 0.750000000000      82908           4.00
     20.0000 0.775000000000      82908           4.44
     20.0000 0.800000000000      82908           5.00
     20.0000 0.825000000000      82908           5.71
     20.0000 0.850000000000      82908           6.67
     20.0000 0.875000000000      82908           8.00
     20.0000 0.887500000000      82908           8.89
     21.0000 0.900000000000      87448          10.00
     21.0000 0.912500000000      87448          11.43
     21.0000 0.925000000000      87448          13.33
     21.0000 0.937500000000      87448          16.00
     22.0000 0.943750000000      89345          17.78
     22.0000 0.950000000000      89345          20.00
     22.0000 0.956250000000      89345          22.86
     23.0000 0.962500000000      91163          26.67
     23.0000 0.968750000000      91163          32.00
     23.0000 0.971875000000      91163          35.56
     23.0000 0.975000000000      91163          40.00
     23.0000 0.978125000000      91163          45.71
     24.0000 0.981250000000      92150          53.33
     24.0000 0.984375000000      92150          64.00
     24.0000 0.985937500000      92150          71.11
     24.0000 0.987500000000      92150          80.00
     24.0000 0.989062500000      92150          91.43
     24.0000 0.990625000000      92150         106.67
     25.0000 0.992187500000      92429         128.00
     25.0000 0.992968750000      92429         142.22
     25.0000 0.993750000000      92429         160.00
     26.0000 0.994531250000      92608         182.86
     26.0000 0.995312500000      92608         213.33
     27.0000 0.996093750000      92702         256.00
     27.0000 0.996484375000      92702         284.44
     27.0000 0.996875000000      92702         320.00
     28.0000 0.997265625000      92778         365.71
     28.0000 0.997656250000      92778         426.67
     29.0000 0.998046875000      92833         512.00
     29.0000 0.998242187500      92833         568.89
     29.0000 0.998437500000      92833         640.00
     30.0000 0.998632812500      92873         731.43
     30.0000 0.998828125000      92873         853.33
     31.0000 0.999023437500      92900        1024.00
     31.0000 0.999121093750      92900        1137.78
     32.0000 0.999218750000      92915        1280.00
     32.0000 0.999316406250      92915        1462.86
     33.0000 0.999414062500      92933        1706.67
     33.0000 0.999511718750      92933        2048.00
     34.0000 0.999560546875      92948        2275.56
     34.0000 0.999609375000      92948        2560.00
     34.0000 0.999658203125      92948        2925.71
     35.0000 0.999707031250      92961        3413.33
     35.0000 0.999755859375      92961        4096.00
     35.0000 0.999780273438      92961        4551.11
     35.0000 0.999804687500      92961        5120.00
     35.0000 0.999829101563      92961        5851.43
     36.0000 0.999853515625      92963        6826.67
     37.0000 0.999877929688      92967        8192.00
     37.0000 0.999890136719      92967        9102.22
     37.0000 0.999902343750      92967       10240.00
     39.0000 0.999914550781      92969       11702.86
     40.0000 0.999926757813      92970       13653.33
     41.0000 0.999938964844      92972       16384.00
     41.0000 0.999945068359      92972       18204.44
     41.0000 0.999951171875      92972       20480.00
     44.0000 0.999957275391      92973       23405.71
     44.0000 0.999963378906      92973       27306.67
     45.0000 0.999969482422      92974       32768.00
     45.0000 0.999972534180      92974       36408.89
     45.0000 0.999975585938      92974       40960.00
     49.0000 0.999978637695      92975       46811.43
     49.0000 0.999981689453      92975       54613.33
     49.0000 0.999984741211      92975       65536.00
     49.0000 0.999986267090      92975       72817.78
     49.0000 0.999987792969      92975       81920.00
     57.0000 0.999989318848      92976       93622.86

