    257.0000 0.000000000000          1           1.00
    286.0000 0.100000000000      15178           1.11
    287.0000 0.200000000000      23372           1.25
    288.0000 0.300000000000      27854           1.43
    293.0000 0.400000000000      41245           1.67
    294.0000 0.500000000000      52721           2.00
    294.0000 0.550000000000      52721           2.22
    295.0000 0.600000000000      66400           2.50
    295.0000 0.650000000000      66400           2.86
    295.0000 0.700000000000      66400           3.33
    296.0000 0.750000000000      75337           4.00
    296.0000 0.775000000000      75337           4.44
    296.0000 0.800000000000      75337           5.00
    297.0000 0.825000000000      81709           5.71
    297.0000 0.850000000000      81709           6.67
    297.0000 0.875000000000      81709           8.00
    297.0000 0.887500000000      81709           8.89
    298.0000 0.900000000000      85074          10.00
    298.0000 0.912500000000      85074          11.43
    298.0000 0.925000000000      85074          13.33
    299.0000 0.937500000000      87311          16.00
    299.0000 0.943750000000      87311          17.78
    299.0000 0.950000000000      87311          20.00
    300.0000 0.956250000000      88689          22.86
    300.0000 0.962500000000      88689          26.67
    300.0000 0.968750000000      88689          32.00
    301.0000 0.971875000000      89693          35.56
    301.0000 0.975000000000      89693          40.00
    301.0000 0.978125000000      89693          45.71
    302.0000 0.981250000000      90172          53.33
    302.0000 0.984375000000      90172          64.00
    303.0000 0.985937500000      90503          71.11
    303.0000 0.987500000000      90503          80.00
    304.0000 0.989062500000      90755          91.43
    304.0000 0.990625000000      90755         106.67
    305.0000 0.992187500000      90884         128.00
    305.0000 0.992968750000      90884         142.22
    306.0000 0.993750000000      90961         160.00
    307.0000 0.994531250000      91033         182.86
    308.0000 0.995312500000      91085         213.33
    310.0000 0.996093750000      91161         256.00
    311.0000 0.996484375000      91197         284.44
    313.0000 0.996875000000      91253         320.00
    314.0000 0.997265625000      91277         365.71
    315.0000 0.997656250000      91305         426.67
    317.0000 0.998046875000      91345         512.00
    318.0000 0.998242187500      91363         568.89
    319.0000 0.998437500000      91376         640.00
    320.0000 0.998632812500      91392         731.43
    321.0000 0.998828125000      91405         853.33
    322.0000 0.999023437500      91420        1024.00
    323.0000 0.999121093750      91432        1137.78
    324.0000 0.999218750000      91449        1280.00
    324.0000 0.999316406250      91449        1462.86
    325.0000 0.999414062500      91460        1706.67
    326.0000 0.999511718750      91470        2048.00
    326.0000 0.999560546875      91470        2275.56
    327.0000 0.999609375000      91474        2560.00
    328.0000 0.999658203125      91479        2925.71
    329.0000 0.999707031250      91482        3413.33
    332.0000 0.999755859375      91488        4096.00
    332.0000 0.999780273438      91488        4551.11
    333.0000 0.999804687500      91491        5120.00
    334.0000 0.999829101563      91494        5851.43
    336.0000 0.999853515625      91495        6826.67
    338.0000 0.999877929688      91497        8192.00
    339.0000 0.999890136719      91499        9102.22
    340.0000 0.999902343750      91501       10240.00
    340.0000 0.999914550781      91501       11702.86
    342.0000 0.999926757813      91502       13653.33
    355.0000 0.999938964844      91503       16384.00
    355.0000 0.999945068359      91503       18204.44
    357.0000 0.999951171875      91504       20480.00
    361.0000 0.999957275391      91505       23405.71
    361.0000 0.999963378906      91505       27306.67
    362.0000 0.999969482422      91506       32768.00
    362.0000 0.999972534180      91506       36408.89
    362.0000 0.999975585938      91506       40960.00
    363.0000 0.999978637695      91507       46811.43
    363.0000 0.999981689453      91507       54613.33
    363.0000 0.999984741211      91507       65536.00
    363.0000 0.999986267090      91507       72817.78
    363.0000 0.999987792969      91507       81920.00
    378.0000 0.999989318848      91508       93622.86

